Dia;Sector;Duracao;Inicio;Final
22/11/2023;C;25;08:52;09:17
22/11/2023;E;7;09:17;09:24
22/11/2023;F;10;09:24;09:34
22/11/2023;A;14;17:00;17:14
22/11/2023;B;8;17:14;17:22
22/11/2023;C;25;17:22;17:47
22/11/2023;E;7;17:47;17:54
22/11/2023;F;10;17:54;18:04
23/11/2023;A;14;08:30;08:44
23/11/2023;B;8;08:44;08:52
23/11/2023;D;25;08:52;09:17
23/11/2023;E;7;09:17;09:24
23/11/2023;A;14;17:00;17:14
23/11/2023;B;8;17:14;17:22
23/11/2023;D;25;17:22;17:47
23/11/2023;E;7;17:47;17:54
24/11/2023;A;14;08:30;08:44
24/11/2023;B;8;08:44;08:52
24/11/2023;C;25;08:52;09:17
24/11/2023;E;7;09:17;09:24
24/11/2023;A;14;17:00;17:14
24/11/2023;B;8;17:14;17:22
24/11/2023;C;25;17:22;17:47
24/11/2023;E;7;17:47;17:54
25/11/2023;A;14;08:30;08:44
25/11/2023;B;8;08:44;08:52
25/11/2023;D;25;08:52;09:17
25/11/2023;E;7;09:17;09:24
25/11/2023;F;10;09:24;09:34
25/11/2023;A;14;17:00;17:14
25/11/2023;B;8;17:14;17:22
25/11/2023;D;25;17:22;17:47
25/11/2023;E;7;17:47;17:54
25/11/2023;F;10;17:54;18:04
26/11/2023;A;14;08:30;08:44
26/11/2023;B;8;08:44;08:52
26/11/2023;C;25;08:52;09:17
26/11/2023;E;7;09:17;09:24
26/11/2023;A;14;17:00;17:14
26/11/2023;B;8;17:14;17:22
26/11/2023;C;25;17:22;17:47
26/11/2023;E;7;17:47;17:54
27/11/2023;A;14;08:30;08:44
27/11/2023;B;8;08:44;08:52
27/11/2023;D;25;08:52;09:17
27/11/2023;E;7;09:17;09:24
27/11/2023;A;14;17:00;17:14
27/11/2023;B;8;17:14;17:22
27/11/2023;D;25;17:22;17:47
27/11/2023;E;7;17:47;17:54
28/11/2023;A;14;08:30;08:44
28/11/2023;B;8;08:44;08:52
28/11/2023;C;25;08:52;09:17
28/11/2023;E;7;09:17;09:24
28/11/2023;F;10;09:24;09:34
28/11/2023;A;14;17:00;17:14
28/11/2023;B;8;17:14;17:22
28/11/2023;C;25;17:22;17:47
28/11/2023;E;7;17:47;17:54
28/11/2023;F;10;17:54;18:04
29/11/2023;A;14;08:30;08:44
29/11/2023;B;8;08:44;08:52
29/11/2023;D;25;08:52;09:17
29/11/2023;E;7;09:17;09:24
29/11/2023;A;14;17:00;17:14
29/11/2023;B;8;17:14;17:22
29/11/2023;D;25;17:22;17:47
29/11/2023;E;7;17:47;17:54
30/11/2023;A;14;08:30;08:44
30/11/2023;B;8;08:44;08:52
30/11/2023;C;25;08:52;09:17
30/11/2023;E;7;09:17;09:24
30/11/2023;A;14;17:00;17:14
30/11/2023;B;8;17:14;17:22
30/11/2023;C;25;17:22;17:47
30/11/2023;E;7;17:47;17:54
1/12/2023;A;14;08:30;08:44
1/12/2023;B;8;08:44;08:52
1/12/2023;D;25;08:52;09:17
1/12/2023;E;7;09:17;09:24
1/12/2023;F;10;09:24;09:34
1/12/2023;A;14;17:00;17:14
1/12/2023;B;8;17:14;17:22
1/12/2023;D;25;17:22;17:47
1/12/2023;E;7;17:47;17:54
1/12/2023;F;10;17:54;18:04
2/12/2023;A;14;08:30;08:44
2/12/2023;B;8;08:44;08:52
2/12/2023;C;25;08:52;09:17
2/12/2023;E;7;09:17;09:24
2/12/2023;A;14;17:00;17:14
2/12/2023;B;8;17:14;17:22
2/12/2023;C;25;17:22;17:47
2/12/2023;E;7;17:47;17:54
3/12/2023;A;14;08:30;08:44
3/12/2023;B;8;08:44;08:52
3/12/2023;D;25;08:52;09:17
3/12/2023;E;7;09:17;09:24
3/12/2023;A;14;17:00;17:14
3/12/2023;B;8;17:14;17:22
3/12/2023;D;25;17:22;17:47
3/12/2023;E;7;17:47;17:54
4/12/2023;A;14;08:30;08:44
4/12/2023;B;8;08:44;08:52
4/12/2023;C;25;08:52;09:17
4/12/2023;E;7;09:17;09:24
4/12/2023;F;10;09:24;09:34
4/12/2023;A;14;17:00;17:14
4/12/2023;B;8;17:14;17:22
4/12/2023;C;25;17:22;17:47
4/12/2023;E;7;17:47;17:54
4/12/2023;F;10;17:54;18:04
5/12/2023;A;14;08:30;08:44
5/12/2023;B;8;08:44;08:52
5/12/2023;D;25;08:52;09:17
5/12/2023;E;7;09:17;09:24
5/12/2023;A;14;17:00;17:14
5/12/2023;B;8;17:14;17:22
5/12/2023;D;25;17:22;17:47
5/12/2023;E;7;17:47;17:54
6/12/2023;A;14;08:30;08:44
6/12/2023;B;8;08:44;08:52
6/12/2023;C;25;08:52;09:17
6/12/2023;E;7;09:17;09:24
6/12/2023;A;14;17:00;17:14
6/12/2023;B;8;17:14;17:22
6/12/2023;C;25;17:22;17:47
6/12/2023;E;7;17:47;17:54
7/12/2023;A;14;08:30;08:44
7/12/2023;B;8;08:44;08:52
7/12/2023;D;25;08:52;09:17
7/12/2023;E;7;09:17;09:24
7/12/2023;F;10;09:24;09:34
7/12/2023;A;14;17:00;17:14
7/12/2023;B;8;17:14;17:22
7/12/2023;D;25;17:22;17:47
7/12/2023;E;7;17:47;17:54
7/12/2023;F;10;17:54;18:04
8/12/2023;A;14;08:30;08:44
8/12/2023;B;8;08:44;08:52
8/12/2023;C;25;08:52;09:17
8/12/2023;E;7;09:17;09:24
8/12/2023;A;14;17:00;17:14
8/12/2023;B;8;17:14;17:22
8/12/2023;C;25;17:22;17:47
8/12/2023;E;7;17:47;17:54
9/12/2023;A;14;08:30;08:44
9/12/2023;B;8;08:44;08:52
9/12/2023;D;25;08:52;09:17
9/12/2023;E;7;09:17;09:24
9/12/2023;A;14;17:00;17:14
9/12/2023;B;8;17:14;17:22
9/12/2023;D;25;17:22;17:47
9/12/2023;E;7;17:47;17:54
