Dia;Sector;Duracao;Inicio;Final;Mix
3/2/2024;B;8;17:14;17:22;NULL
3/2/2024;D;25;17:22;17:47;NULL
3/2/2024;E;7;17:47;17:54;NULL
4/2/2024;A;14;08:30;08:44;NULL
4/2/2024;B;8;08:44;08:52;NULL
4/2/2024;C;25;08:52;09:17;NULL
4/2/2024;E;7;09:17;09:24;NULL
4/2/2024;A;14;17:00;17:14;NULL
4/2/2024;B;8;17:14;17:22;NULL
4/2/2024;C;25;17:22;17:47;NULL
4/2/2024;E;7;17:47;17:54;NULL
5/2/2024;A;14;08:30;08:44;NULL
5/2/2024;B;8;08:44;08:52;NULL
5/2/2024;D;25;08:52;09:17;NULL
5/2/2024;E;7;09:17;09:24;mix1
5/2/2024;F;10;09:24;09:34;NULL
5/2/2024;A;14;17:00;17:14;NULL
5/2/2024;B;8;17:14;17:22;NULL
5/2/2024;D;25;17:22;17:47;NULL
5/2/2024;E;7;17:47;17:54;mix1
5/2/2024;F;10;17:54;18:04;NULL
6/2/2024;A;14;08:30;08:44;NULL
6/2/2024;B;8;08:44;08:52;NULL
6/2/2024;C;25;08:52;09:17;mix2
6/2/2024;E;7;09:17;09:24;NULL
6/2/2024;A;14;17:00;17:14;NULL
6/2/2024;B;8;17:14;17:22;NULL
6/2/2024;C;25;17:22;17:47;mix2
6/2/2024;E;7;17:47;17:54;NULL
7/2/2024;A;14;08:30;08:44;NULL
7/2/2024;B;8;08:44;08:52;NULL
7/2/2024;D;25;08:52;09:17;NULL
7/2/2024;E;7;09:17;09:24;NULL
7/2/2024;A;14;17:00;17:14;NULL
7/2/2024;B;8;17:14;17:22;NULL
7/2/2024;D;25;17:22;17:47;NULL
7/2/2024;E;7;17:47;17:54;NULL
